role,route,http_code,state
MANAGER,/me/dashboard,200,OK
MANAGER,/me/profile,200,OK
MANAGER,/me/payslips,200,OK
MANAGER,/me/attendance,200,OK
MANAGER,/me/leaves,200,OK
MANAGER,/me/documents,000,TIMEOUT
MANAGER,/dashboard,000,TIMEOUT
MANAGER,/dashboards/executive,000,TIMEOUT
MANAGER,/employees,000,TIMEOUT
MANAGER,/departments,000,TIMEOUT
MANAGER,/org-chart,000,TIMEOUT
MANAGER,/announcements,000,TIMEOUT
MANAGER,/approvals/inbox,200,OK
MANAGER,/attendance,200,OK
MANAGER,/leave,200,OK
MANAGER,/leave/apply,200,OK
MANAGER,/leave/approvals,200,OK
MANAGER,/leave/calendar,200,OK
MANAGER,/shifts,200,OK
MANAGER,/overtime,200,OK
MANAGER,/probation,200,OK
MANAGER,/assets,200,OK
MANAGER,/letters,200,OK
MANAGER,/letter-templates,200,OK
MANAGER,/contracts,200,OK
MANAGER,/payroll,200,OK
MANAGER,/expenses,200,OK
MANAGER,/loans,200,OK
MANAGER,/travel,200,OK
MANAGER,/tax,200,OK
MANAGER,/compensation,200,OK
MANAGER,/benefits,200,OK
MANAGER,/statutory,200,OK
MANAGER,/projects,200,OK
MANAGER,/nu-calendar,200,OK
MANAGER,/nu-drive,000,TIMEOUT
MANAGER,/nu-mail,000,TIMEOUT
MANAGER,/resources,000,TIMEOUT
MANAGER,/reports,000,TIMEOUT
MANAGER,/analytics,000,TIMEOUT
MANAGER,/predictive-analytics,000,TIMEOUT
MANAGER,/admin,000,TIMEOUT
MANAGER,/admin/roles,000,TIMEOUT
MANAGER,/admin/permissions,000,TIMEOUT
MANAGER,/admin/holidays,000,TIMEOUT
MANAGER,/admin/office-locations,000,TIMEOUT
MANAGER,/admin/custom-fields,000,TIMEOUT
MANAGER,/workflows,000,TIMEOUT
MANAGER,/helpdesk,000,TIMEOUT
MANAGER,/settings,000,TIMEOUT
MANAGER,/import-export,000,TIMEOUT
MANAGER,/recruitment,000,TIMEOUT
MANAGER,/recruitment/candidates,000,TIMEOUT
MANAGER,/recruitment/pipeline,000,TIMEOUT
MANAGER,/onboarding,000,TIMEOUT
MANAGER,/offboarding,000,TIMEOUT
MANAGER,/preboarding,000,TIMEOUT
MANAGER,/careers,000,TIMEOUT
MANAGER,/referrals,000,TIMEOUT
MANAGER,/performance,000,TIMEOUT
MANAGER,/performance/okr,000,TIMEOUT
MANAGER,/performance/360-feedback,000,TIMEOUT
MANAGER,/training,000,TIMEOUT
MANAGER,/learning,000,TIMEOUT
MANAGER,/recognition,000,TIMEOUT
MANAGER,/surveys,000,TIMEOUT
MANAGER,/wellness,000,TIMEOUT
TEAM_LEAD,/me/dashboard,000,TIMEOUT
TEAM_LEAD,/me/profile,000,TIMEOUT
TEAM_LEAD,/me/payslips,000,TIMEOUT
TEAM_LEAD,/me/attendance,200,OK
TEAM_LEAD,/me/leaves,200,OK
TEAM_LEAD,/me/documents,200,OK
TEAM_LEAD,/dashboard,200,OK
TEAM_LEAD,/dashboards/executive,200,OK
TEAM_LEAD,/employees,200,OK
TEAM_LEAD,/departments,200,OK
TEAM_LEAD,/org-chart,200,OK
TEAM_LEAD,/announcements,200,OK
TEAM_LEAD,/approvals/inbox,200,OK
TEAM_LEAD,/attendance,200,OK
TEAM_LEAD,/leave,200,OK
TEAM_LEAD,/leave/apply,200,OK
TEAM_LEAD,/leave/approvals,200,OK
TEAM_LEAD,/leave/calendar,200,OK
TEAM_LEAD,/shifts,200,OK
TEAM_LEAD,/overtime,200,OK
TEAM_LEAD,/probation,200,OK
TEAM_LEAD,/assets,200,OK
TEAM_LEAD,/letters,200,OK
TEAM_LEAD,/letter-templates,200,OK
TEAM_LEAD,/contracts,200,OK
TEAM_LEAD,/payroll,200,OK
TEAM_LEAD,/expenses,200,OK
TEAM_LEAD,/loans,200,OK
TEAM_LEAD,/travel,200,OK
TEAM_LEAD,/tax,200,OK
TEAM_LEAD,/compensation,200,OK
TEAM_LEAD,/benefits,200,OK
TEAM_LEAD,/statutory,200,OK
TEAM_LEAD,/projects,200,OK
TEAM_LEAD,/nu-calendar,200,OK
TEAM_LEAD,/nu-drive,200,OK
TEAM_LEAD,/nu-mail,200,OK
TEAM_LEAD,/resources,200,OK
TEAM_LEAD,/reports,200,OK
TEAM_LEAD,/analytics,200,OK
TEAM_LEAD,/predictive-analytics,200,OK
TEAM_LEAD,/admin,200,OK
TEAM_LEAD,/admin/roles,200,OK
TEAM_LEAD,/admin/permissions,200,OK
TEAM_LEAD,/admin/holidays,200,OK
TEAM_LEAD,/admin/office-locations,200,OK
TEAM_LEAD,/admin/custom-fields,200,OK
TEAM_LEAD,/workflows,200,OK
TEAM_LEAD,/helpdesk,200,OK
