role,route,http_code,state
SUPER_ADMIN,/me/dashboard,000,TIMEOUT
SUPER_ADMIN,/me/profile,200,OK
SUPER_ADMIN,/me/payslips,200,OK
SUPER_ADMIN,/me/attendance,200,OK
SUPER_ADMIN,/me/leaves,200,OK
SUPER_ADMIN,/me/documents,200,OK
SUPER_ADMIN,/dashboard,200,OK
SUPER_ADMIN,/dashboards/executive,000,TIMEOUT
SUPER_ADMIN,/employees,000,TIMEOUT
SUPER_ADMIN,/departments,000,TIMEOUT
SUPER_ADMIN,/org-chart,000,TIMEOUT
SUPER_ADMIN,/announcements,000,TIMEOUT
SUPER_ADMIN,/approvals/inbox,200,OK
SUPER_ADMIN,/attendance,200,OK
SUPER_ADMIN,/leave,200,OK
SUPER_ADMIN,/leave/apply,200,OK
SUPER_ADMIN,/leave/approvals,200,OK
SUPER_ADMIN,/leave/calendar,200,OK
SUPER_ADMIN,/shifts,200,OK
SUPER_ADMIN,/overtime,200,OK
SUPER_ADMIN,/probation,200,OK
SUPER_ADMIN,/assets,200,OK
SUPER_ADMIN,/letters,200,OK
SUPER_ADMIN,/letter-templates,200,OK
SUPER_ADMIN,/contracts,200,OK
SUPER_ADMIN,/payroll,200,OK
SUPER_ADMIN,/expenses,200,OK
SUPER_ADMIN,/loans,200,OK
SUPER_ADMIN,/travel,200,OK
SUPER_ADMIN,/tax,200,OK
SUPER_ADMIN,/compensation,200,OK
SUPER_ADMIN,/benefits,200,OK
SUPER_ADMIN,/statutory,200,OK
SUPER_ADMIN,/projects,200,OK
SUPER_ADMIN,/nu-calendar,000,TIMEOUT
SUPER_ADMIN,/nu-drive,000,TIMEOUT
SUPER_ADMIN,/nu-mail,000,TIMEOUT
SUPER_ADMIN,/resources,000,TIMEOUT
SUPER_ADMIN,/reports,000,TIMEOUT
SUPER_ADMIN,/analytics,200,OK
SUPER_ADMIN,/predictive-analytics,000,TIMEOUT
SUPER_ADMIN,/admin,200,OK
SUPER_ADMIN,/admin/roles,200,OK
SUPER_ADMIN,/admin/permissions,200,OK
SUPER_ADMIN,/admin/holidays,200,OK
SUPER_ADMIN,/admin/office-locations,200,OK
SUPER_ADMIN,/admin/custom-fields,200,OK
SUPER_ADMIN,/workflows,200,OK
SUPER_ADMIN,/helpdesk,200,OK
SUPER_ADMIN,/settings,200,OK
SUPER_ADMIN,/import-export,200,OK
SUPER_ADMIN,/recruitment,200,OK
SUPER_ADMIN,/recruitment/candidates,200,OK
SUPER_ADMIN,/recruitment/pipeline,200,OK
SUPER_ADMIN,/onboarding,200,OK
SUPER_ADMIN,/offboarding,200,OK
SUPER_ADMIN,/preboarding,200,OK
SUPER_ADMIN,/careers,200,OK
SUPER_ADMIN,/referrals,200,OK
SUPER_ADMIN,/performance,200,OK
SUPER_ADMIN,/performance/okr,000,TIMEOUT
SUPER_ADMIN,/performance/360-feedback,000,TIMEOUT
SUPER_ADMIN,/training,000,TIMEOUT
SUPER_ADMIN,/learning,200,OK
SUPER_ADMIN,/recognition,200,OK
SUPER_ADMIN,/surveys,200,OK
SUPER_ADMIN,/wellness,200,OK
TENANT_ADMIN,/me/dashboard,200,OK
TENANT_ADMIN,/me/profile,200,OK
TENANT_ADMIN,/me/payslips,200,OK
TENANT_ADMIN,/me/attendance,200,OK
TENANT_ADMIN,/me/leaves,200,OK
TENANT_ADMIN,/me/documents,200,OK
